,Unnamed: 0,premise,text,stance
0,0,Coronavirus is genetically engineered.,How the COVID-19 outbreak is changing global politics https://t.co/dc6lgl9l83,0
1,1,Holy communion cannot be the cause of the spread of coronavirus,@USERNAME @USERNAME coronavirus and illegals ; the Democratic Party should be responsible for the spread of a Community disease because of the illegals not being vetted and having a proper process. I’am sure they will take full responsibility of any deaths caused to them or us;RIGHT?,0
2,2,Coronavirus is genetically engineered.,"@USERNAME @USERNAME @USERNAME No it's not. Coronavirus is a form of flu. Same symptoms as the flu. Treated like the flu. Exactly the same people are at the most risk as the flu. 62,000 people die of the flu in the US every year, and nobody calls it a pandemic. You're all hysterical idiots.",0
3,3,Coronavirus is genetically engineered.,China is Confronting the COVID-19 Epidemic. Was It Man-Made? An Act of of Bio-warfare? By Peter Koenig. https://t.co/Wfj6KOXjHU #coronavirus #svpol,1
4,4,Coronavirus is caused by 5G.,"Coronavirus spreads to Ecuador and the Republic of Ireland, both from passengers who flew commercial airlines – https://t.co/S3N54Xs8qA https://t.co/NAIfs7YI5B",0
5,5,Coronavirus is genetically engineered.,More Evidence Emerging that new Coronavirus is genetically engineered https://t.co/SYCNC4pNWI https://t.co/fzFdN5fi1u,1
6,6,Vitamin C can prevent coronavirus circulation.,President Trump's Tips to Avoid Coronavirus https://t.co/UAeLDQ6FI4 via @USERNAME,0
7,7,SARS-CoV-2 can survive for weeks on surfaces.,"Looks like COVID-19 could have been spreading in the US for a lot longer than anticipated, but was not picked up because of criteria for risk and testing https://t.co/B6iJBC9IMw",0
8,8,Africans are more resistant to coronavirus.,"Statistically, you are more likely to be killed by @USERNAME  than by the Wuhan #coronavirus. https://t.co/EfeVB6v1q7",0
9,9,Coronavirus can only survive in cold temperatures.,"@USERNAME @USERNAME @USERNAME 9 days is for a related corona virus, not Covid-19, under IDEAL conditions. From memory, 40 F, high humidity and no sunlight. But hours is apparently quite possible.",0
10,10,Vitamin C can prevent coronavirus circulation.,Afghanistan: Imams say Qur'an verses worn on clothes can prevent coronavirus https://t.co/ks8zGXQ4yc,0
11,11,A person can tell if they have coronavirus or not simply by holding their breath.,"well just learned it was fake! y’all are stupid. anyway check for coronavirus by holding your breath for 10 secs, if you don’t feel any tightness or start coughing you’re good. remember to always always wash your hands whenever possible and be alert https://t.co/XlBNpj8Sml",1
12,12,SARS-CoV-2 can survive for weeks on surfaces.,"here’s to hoping my kids have been bringing home some garden variety coronaviruses over the last few years.
👧🏼🦠🤧🛡

Remarkable Age Distribution of OC43 vs. SARS-CoV-2 in China - Virological https://t.co/uImgzGDRP2",0
13,13,Coronavirus is genetically engineered.,"BiologistDan: SuoloSaint Never bad to ask. The COVID-19 ""coronavirus"" is specific for respiratory cells. There is no known vaginal infestation.",0
14,14,Hand sanitiser sold commercially does not destroy the coronavirus.,"As fears over #coronavirus grow, CVS cautioned customers that temporary shortages of hand sanitizing products could occur. @USERNAME 

https://t.co/cjcdjScrBt",0
15,15,Avocado and mint tea cures coronavirus.,@USERNAME @USERNAME @USERNAME Again where are the medical studies?  Not talking about naturopaths  or chiropractors who peddle vitamins.   It’s completely irresponsible  for the OP to tell people with coronavirus to take vitamin C and eat soup to “cure” it.  🤦🏻‍♀️,0
16,16,Holy communion cannot be the cause of the spread of coronavirus,"In response to concerns expressed by the faithful regarding the potential spread of the #coronavirus, the Archdiocese of Galveston-Houston is suspending the distribution of Holy Communion. https://t.co/aDQGtpZ1qq",0
17,17,A person can tell if they have coronavirus or not simply by holding their breath.,Assume everyone you encounter has coronavirus even if they have no symptoms. Take no chances.,0
18,18,A person can tell if they have coronavirus or not simply by holding their breath.,"Good news!

Studies and scientific models show that people who already have TDS are the most susceptible to the effects of the #coronavirus.  

The models predict that they will have a very high non-recovery rate because they have no clue how to take care of themselves.",0
19,19,Coronavirus is genetically engineered.,".Don’t forget Epstein didn’t kill himself....

And don’t forget the Coronavirus was created in a lab in Wuhan.

And now it’s being used as a bio-weapon to remove / murder the Chinese protestors, create a demand for a new vaccine ($), &amp; manufacture public fear to hurt the economy",1
20,20,Avocado and mint tea cures coronavirus.,"How to prevent corona virus?🤔 Use cowdung cakes for Holika dahan, &amp; celebrate Vedic Holi inspired by Sant Shri Asharamji Bapu. You can easily make herbal colors at home using Palash, Turmeric etc 😇 #AdoptVedicHoliPreventCorona https://t.co/ZMzns5SV88",0
21,21,Coronavirus is genetically engineered.,Coronavirus has gone airborne https://t.co/q1O2Lnu3Hy,0
22,22,Avocado and mint tea cures coronavirus.,"@USERNAME WHAT ABOUT THE ILLEGALS ENTERING W/ NO MEDICAL EXAM!THEY SLREADY BROUGH SICKNESS LIKE VENEREAS TUBERCULOSIS., CHICKEN pox Rubeola, mumps,POLIO and more! S@D DE@OCRATS ARE OK W/THAT! ILLEGALS R MORE DANGEROUS THAN THE CORONA VIRUS! WAKE UP AMERICA / ANOTHER DEMOCRAT DISTRACTION",0
23,23,Coronavirus is genetically engineered.,Husband thinks the coronavirus was created by the Chinese military as a biological weapon and it accidently got out of the lab. He says he read this in one of the secret newsletters he gets. What do I do with this information? What do I do WITH HIM?,2
24,24,Holy communion cannot be the cause of the spread of coronavirus,"Roman Catholic authorities in #Jerusalem have instructed their priests to give communion by hand only, rather than placing the wafers on worshippers’ tongues, as precautions against the spread of the #coronavirus.

#COVID_19",0
25,25,A person can tell if they have coronavirus or not simply by holding their breath.,"@USERNAME A Corona virus is not the same as an influenza virus. There was no “discovery,” there is an epidemic. You should be telling people to cover their mouths when they cough and wash their hands instead of spreading dangerous misinformation.",0
26,26,Coronavirus can only survive in cold temperatures.,@USERNAME Frequent swimming in the beach will kill the corona virus ..It cannot survive the salty water plus the 30 C degree heat..,1
27,27,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"I don't want that crap in me either, but maybe they're using this whole ""outbreak"" to break the idea into the scene. And maybe they'll advertise the ""answer"" to the ""pandemic"" is a tech-biology interface too. 

We are free to refuse. This is downright biblical, mark of the beast.",0
28,28,Coronavirus can only survive in cold temperatures.,"Coronavirus spreads to Ecuador and the Republic of Ireland, both from passengers who flew commercial airlines – https://t.co/db8UEvoeUX 
https://t.co/H2oE3xk55P",0
29,29,Vitamin C can prevent coronavirus circulation.,"@USERNAME @USERNAME If you already have the coronavirus, wearing a mask can limit the spread of contamination to others, which is why I said little. If you are not sick, the mask will provide ZERO protection. You would need a mask with a respirator.",0
30,30,Coronavirus can only survive in cold temperatures.,"Coronavirus underperfoms it's xD vs younger people, but compensates in the elderly.",0
31,31,Hand sanitiser sold commercially does not destroy the coronavirus.,"@USERNAME Ambroxol is a 30 year old generic cold/flu OTC remedy, sold for $9 in the UK that could mitigate coronavirus.

Study: Ambroxol for the prevention of acute upper respiratory disease
Conclusion: Helps prevent catching respiratory flu at 45 mg per day.

https://t.co/Wlkuj96gpA",0
32,32,Coronavirus is genetically engineered.,@USERNAME That is gauging. The test is the exact same test as for the flu with a process cost of about .62 cents per. Coronavirus is spore based.,0
33,33,Africans are more resistant to coronavirus.,There are now more new cases of the coronavirus reported each day outside China than inside the hardest hit country the world health organization said,0
34,34,Holy communion cannot be the cause of the spread of coronavirus,"Alhamdulillah for Islam, where hygiene is also a mark of your faith❤ https://t.co/34gJK534J8",0
35,35,SARS-CoV-2 can survive for weeks on surfaces.,@USERNAME So the Coronavirus can remain alive on surface areas for up to few days ! 😳😳🤔😷 @USERNAME,1
36,36,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,People think this 1981 horror novel predicted the coronavirus outbreak https://t.co/NOb0oPBEPA,1
37,37,Fennel tea cures coronavirus.,"St David's Day ewes - https://t.co/SWG0pumrT6 Dragons, daffodils and leeks, Coronavirus, Seniors, Minis and Mums https://t.co/BL5t4goSeP",0
38,38,Coronavirus is caused by 5G.,"Coronavirus poses 'very high' global risk, the WHO warns https://t.co/sf6VsbaRS5 https://t.co/0eAR8opQQ5",0
39,39,Hand sanitiser sold commercially does not destroy the coronavirus.,@USERNAME @USERNAME This is untrue. Hand sanitizer will absolutely kill the covid-19  virus.,2
40,40,Fennel tea cures coronavirus.,"@USERNAME How to prevent corona virus?🤔 Use cowdung cakes for Holika dahan, &amp; celebrate Vedic Holi inspired by Sant Shri Asharamji Bapu. You can easily make herbal colors at home using Palash, Turmeric etc 😇 #AdoptVedicHoliPreventCorona https://t.co/8kHgFmbzie",0
41,41,Coronavirus can only survive in cold temperatures.,"Coronavirus: is a novel virus named for the crownlike spikes that protrude from its surface, can infect both animals and people and can cause a range of respiratory illnesses from the common cold to more dangerous conditions like Severe Acute Respiratory Syndrome, or SARS.",0
42,42,Fennel tea cures coronavirus.,"Today my fam went to an Elizabeth Warren rally. Tomorrow we are going to Monster Jam. 

Gonna treat the whiplash with the neck braces I picked up stockpiling for coronavirus. 

A little activism, a little diesel. Even worked in Mexican food and ice cream.

Well-rounded weekend.",0
43,43,We're very close to a vaccine.,"Just like the Spanish Flu, the #Coronavirus will spread due to Government cover-ups and incompetence. If there was more testing and quarantining now we would have a better chance of containment until a vaccine is available.",0
44,44,Coronavirus is genetically engineered.,@USERNAME @USERNAME @USERNAME IS the Coronavirus is a bioweapon that can be activated at will and used to target and threaten governments?,0
45,45,The lifetime of SARS-CoV-2 is only 12 hours.,@USERNAME That's not technically true. The virus that causes COVID-19 is SARS-CoV-2. The name of the disease remains Novel (new) Coronavirus ( a family of viruses that includes SARS but also harmless microbes) 2019 ( year of emergence),0
46,46,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"Contagions, pandemics, and plagues, oh my!

From Boccaccio’s “The Decameron” to Camus’s “The Plague”, mass illness has a unique way of infiltrating the works of great writers. How will the #coronavirus be preserved in the books? https://t.co/MLxAbSVtzp",0
47,47,COVID-19 is only as deadly as the seasonal flu.,"“Most people (not elderly, no underlying health conditions) will NOT become critically ill from Covid-19. But it has higher chance of leading to serious respiratory symptoms than seasonal flu "" …” https://t.co/a9VvfYC7Hg",0
48,48,Hand sanitiser sold commercially does not destroy the coronavirus.,Do Cleaning Products and Sanitizers Prevent Coronavirus? | Time https://t.co/CNzZUCr8Tj,0
49,49,Vitamin C can prevent coronavirus circulation.,Coronavirus has a 98% survival rate. The flu is more dangerous. Stop the stupidity in the American Stock Exchange https://t.co/H6j31DHMXI,0
50,50,Africans are more resistant to coronavirus.,Since RNA viruses are known to mutate extremely rapidly I wonder if there's different strains of the coronavirus circulating where some are more deadly than others due to the evolution of the virus.,0
51,51,SARS-CoV-2 can survive for weeks on surfaces.,The Coronavirus is alive for 72 hours on the surface...Lawd https://t.co/STFPiPdl1B https://t.co/tJB0dACIK7,1
52,52,The lifetime of SARS-CoV-2 is only 12 hours.,"The RO is the ""basic reproduction number"" (how many people each sick person infects). With an RO of less than 1 a disease will die out. A typical seasonal flu has an RO of 1.2 (for every 5 people, it spreads to 6 new people). The estimated COVID-19 RO is between 1.4 and 4.",0
53,53,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"I wrote this after seeing a tweet that said over 20% of the coronavirus patients will need to be hospitalized, and the US doesn't have the infrastructure for that. 

This pandemic isn't about death tolls...it's about what happens when things stop. That's what should terrify you. https://t.co/71UnzfL6gX",0
54,54,Coronavirus is caused by 5G.,@USERNAME You poor thing you still believe it is a real virus! You should know better after voting for H.R.4998 that is on @USERNAME’ desk awaiting his signature. Remember when 230 Top Doctors and Scientists issued a health alert that 5G will substantially increase RF-EMF. Think CORONAVIRUS.,1
55,55,COVID-19 is only as deadly as the seasonal flu.,"@USERNAME Save your comments, ie sharpie/weather map, Russia didn’t interfere in 2016, Russia won’t interfere in 2020, #coronavirus is not as lethal as the flu, etc. 2/2",1
56,56,Coronavirus is caused by 5G.,"Everything you said is true plus 1 more thing. Coronavirus is not even as deadly as the flu, but the transmission is unique and could be a generally non-lethal experiment in preparation for future germ warfare. I don't trust the Chinese, the communists or the globalists at all. https://t.co/fPuSTCp9b1",0
57,57,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"@USERNAME According to Koontz' Wuhan-400 (the fictional virus), the virus only affects humans. Again, this proves Wuhan-400 is no similar to the real Corona virus",0
58,58,Africans are more resistant to coronavirus.,Statistically speaking - you are more likely to die from being exposed to the Clintons than you are by being exposed to the corona virus.,0
59,59,Vitamin C can prevent coronavirus circulation.,Children can be affected by coronavirus..... YOOO BETT https://t.co/ugFpWM7dkb,0
60,60,COVID-19 is only as deadly as the seasonal flu.,"@USERNAME @USERNAME Closer to 650,000 people will die of the flu this year. The figure of 30,000 is just in the U.S.
But the flu has approximately 0.1% mortality vs 2% for COVID-19. Do the math.",2
61,61,Coronavirus is genetically engineered.,Liars Brian Williams and Michael Moore Smear President Trump on MSNBC as Falsely Saying Coronavirus Is a Hoax https://t.co/si71G1ORTi via @USERNAME,0
62,62,We're very close to a vaccine.,"@USERNAME This case has little to do with Pence. More likely someone visited a relative and did not practice good hygiene. Unless you want to lock people into their homes like China is doing, this is going to happen.

A vaccine is our best bet, and gov + private companies are well on it.",1
63,63,Coronavirus is genetically engineered.,CORONAVIRUS IS JUST THE TIP OF THE ICEBERG IN THE WAR AGAINST US https://t.co/quEa4MhnUq via @USERNAME,0
64,64,Coronavirus is genetically engineered.,Coronavirus is actually a mod ting..This needs stop ASAP smh..,0
65,65,Coronavirus is genetically engineered.,"@USERNAME US Patent 10130701, granted on 20 Nov 2018.
It refers to a live, attenuated #coronavirus that may be used as a vaccine for treating and/or preventing a disease, such as infectious bronchitis, in a subject.

But yet..... here we are.",1
66,66,Africans are more resistant to coronavirus.,"Because those at long-term care facilities are pretty much the definition of those most susceptible to #coronavirus (old, in frail health), I'd be surprised if we don't get more deaths in Washington state, where 27 possible patients have turned up at one facility. https://t.co/HzmeqLa6qh",0
67,67,Coronavirus is genetically engineered.,"So there’s original SARS, which is a type of coronavirus. SARS infects cells through the ACE2 receptor in hosts.",0
68,68,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","Just think of this, if Wuhan city has 11m people, they are probably having 7k or more natural deaths every month anyway.  In the epicenter of this outbreak, assuming we are at peak mortality for this city only, WuPlague has contributed 20% more deaths than avg. It’s a lot, but...",0
69,69,Vitamin C cures coronavirus.,"Vitamin C, Zinc , Echinacea.  Prepare to make tea constantly throughout duration of coronavirus self quarantine.  I'm just taking educated guesses here.  We may all die from this, say ""la ilaha illallah"" a lot.  And take shahada on video chat even and start learning salat.",1
70,70,Coronavirus is caused by 5G.,https://t.co/6GqvLWQQIA PATRIOTS: POTUS urging Americans to not travel to the areas in Italy and South Korea that are most affected by the coronavirus.POTUS also directed the State Department to work with our allies in Italy and in South Korea to coordinate a medical SCREENING,0
71,71,Coronavirus is genetically engineered.,"Prediction: COVID-19 is a nothing-burger.

The mortality rate is 2%, but that counts ALL deaths against only SOME of the infected. Most infected are asymptomatic and won't have reason to be tested, so the real mortality rate may be around the same as the common flu (0.1%).",0
72,72,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"""The Trump team confirms all of our worst fears."" Paul Krugman

When a Pandemic Meets a Personality Cult https://t.co/2P6iv3F3o6",0
73,73,Fennel tea cures coronavirus.,"@USERNAME How to prevent corona virus?🤔 Use cowdung cakes for Holika dahan, &amp; celebrate Vedic Holi inspired by Sant Shri Asharamji Bapu. You can easily make herbal colors at home using Palash, Turmeric etc 😇 #AdoptVedicHoliPreventCorona https://t.co/x8pUKDFZjW",0
74,74,Fennel tea cures coronavirus.,"Me: I'm kinda wigged out about Coronavirus. *stocks up on water, pet food, Lysol, Respiratory meds, batteries, masks, hand sanitizer* 

Elote cart: *ring ring* 

Me: https://t.co/4iC5kAYDV9",0
75,75,We're very close to a vaccine.,How close are we to a vaccine for the novel coronavirus? https://t.co/IKtlCce22S,0
76,76,Coronavirus is genetically engineered.,"Coronavirus latest updates: US, Australia and Thailand record first deaths. Two more Chinese doctors die. China contained it to two provinces, primarily. Infection rate is 3.6%. That is a new figure.  https://t.co/vU8OfOUT6y",0
77,77,A person can tell if they have coronavirus or not simply by holding their breath.,True or false: you can get coronavirus from drinking corona? https://t.co/vzKCtufSnk,0
78,78,The lifetime of SARS-CoV-2 is only 12 hours.,@USERNAME Does anyone else find it interesting that SARS-CoV-2 is the virus that causes the disease of COVID-19..? There are reports that the virus uses same receptors as HIV to infect. I worry more and more each day that someone crossed the common cold with HIV 😶,0
79,79,Fennel tea cures coronavirus.,"CONTENT NOTE: brief mention of menstruation and elimination substances from when you go to the bathroom, discussion of the environment and whatnot
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

During cold, flu, and coronavirus season, remember that antibacterial hand and body soaps are bad for:",0
80,80,Coronavirus is caused by 5G.,Characteristics of and Important Lessons From the Coronavirus Disease 2019 (COVID-19) Outbreak in China: Summary of a Report of 72 314 Cases From the Chinese Center for Disease Control and Prevention | Global Health | JAMA | JAMA Network https://t.co/uNnMcNP8Wy,0
81,81,Coronavirus is genetically engineered.,"@USERNAME I think WHO should change its criteria of a pandemic case. If a virus or disease reaches all continents, it must be considered a pandemic, having reached a certain number of infections. What's more, this is a novel coronavirus. They should think of its risk to people's health.",0
82,82,SARS-CoV-2 can survive for weeks on surfaces.,"@USERNAME The virus can survive on surfaces for a long time. It’s a genuine concern. Doctors in our country are worried about packages coming from China as well. It spreads like wildfire. It’s not racist, it’s a concern for health at this point. People should halt ordering from China.",1
83,83,Holy communion cannot be the cause of the spread of coronavirus,"A brief response to coronavirus through the lenses of biblical-theology, missiology, and pastoral ministry.
https://t.co/MI0tjWZyxa",0
84,84,Vitamin C can prevent coronavirus circulation.,@USERNAME Qanon  recommends drinking bleach to prevent Coronavirus   Bottoms up,0
85,85,Vitamin C cures coronavirus.,"CONTENT NOTE: brief mention of menstruation and elimination substances from when you go to the bathroom, discussion of the environment and whatnot
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

During cold, flu, and coronavirus season, remember that antibacterial hand and body soaps are bad for:",0
86,86,SARS-CoV-2 can survive for weeks on surfaces.,Coronavirus could survive up to NINE DAYS outside the body https://t.co/KWrHNAnj9U via @USERNAME,1
87,87,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","More than 30,000 pets have been left stranded after the Chinese government sealed off Wuhan following the #coronavirus outbreak 💔 https://t.co/A7YYn4faka
#Covid_19

As many pets stranded as people? https://t.co/OUjjrwHwsa",0
88,88,The lifetime of SARS-CoV-2 is only 12 hours.,New Research Shows Overlap of COVID-19 With SARS and MERS https://t.co/HhquSslz5s,0
89,89,Coronavirus is caused by 5G.,Coronavirus Wipes $5 Trillion Off Global Stocks As It Spreads To New Countries https://t.co/LqMWu9FBFC,0
90,90,We're very close to a vaccine.,@USERNAME I understand Israel will have a vaccine for coronavirus in a few weeks.,1
91,91,The lifetime of SARS-CoV-2 is only 12 hours.,Israel says COVID-19 vaccine is only weeks away https://t.co/yH11PB9qt8 via @USERNAME,0
92,92,Fennel tea cures coronavirus.,"I saw Costco trending. Something about everyone being at panic for supplies for the coronavirus. I work at Costco just so you now. They said toilet paper, some food, water bottles being, and Clorox wipes being sold out",0
93,93,Coronavirus is caused by 5G.,"…
(Today, February 29, the first infected person in Niigata City has been confirmed.
A report of the outbreak of a novel coronavirus pseudo-similar patient was submitted to the Niigata City Public Health Center from a returnee / contact person in Niigata City, and the patient …",0
94,94,SARS-CoV-2 can survive for weeks on surfaces.,"@USERNAME @USERNAME @USERNAME @USERNAME ""...coronavirus infections most often occur during the winter months and early spring. ...coronavirus and may catch the same one about 4 months later.
This is because coronavirus antibodies do not last for a long time."" 

So.  We are doomed. 

https://t.co/GEtXXGZb1C",0
95,95,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"@USERNAME The Bill and Melinda Gates Foundation has already contributed $100 million toward the fight to contain the outbreak. In his op-ed, Gates said warding off a pandemic would require billions of dollars.",0
96,96,Avocado and mint tea cures coronavirus.,"just bought 20kgs of rice and pasta, 60 cans of tuna, 3 bottles of voddy and bare canned vegetables, coronavirus ain’t taking me 🤓🤓🤓",0
97,97,Coronavirus is genetically engineered.,https://t.co/MHaVV4wsog - Singapore's contribution to the Covid-19 detection kits,0
