,Tweet ID,Tweet,Target,Stance
0,1233965490948591616,How the COVID-19 outbreak is changing global politics https://t.co/dc6lgl9l83,Coronavirus is genetically engineered.,NONE
1,1233955845756653568,@USERNAME @USERNAME coronavirus and illegals ; the Democratic Party should be responsible for the spread of a Community disease because of the illegals not being vetted and having a proper process. I’am sure they will take full responsibility of any deaths caused to them or us;RIGHT?,Holy communion cannot be the cause of the spread of coronavirus,NONE
2,1233952635725778944,"@USERNAME @USERNAME @USERNAME No it's not. Coronavirus is a form of flu. Same symptoms as the flu. Treated like the flu. Exactly the same people are at the most risk as the flu. 62,000 people die of the flu in the US every year, and nobody calls it a pandemic. You're all hysterical idiots.",Coronavirus is genetically engineered.,NONE
3,1233932767102152704,China is Confronting the COVID-19 Epidemic. Was It Man-Made? An Act of of Bio-warfare? By Peter Koenig. https://t.co/Wfj6KOXjHU #coronavirus #svpol,Coronavirus is genetically engineered.,FAVOR
4,1233961044172853248,"Coronavirus spreads to Ecuador and the Republic of Ireland, both from passengers who flew commercial airlines – https://t.co/S3N54Xs8qA https://t.co/NAIfs7YI5B",Coronavirus is caused by 5G.,NONE
5,1233982885184622592,More Evidence Emerging that new Coronavirus is genetically engineered https://t.co/SYCNC4pNWI https://t.co/fzFdN5fi1u,Coronavirus is genetically engineered.,FAVOR
6,1233919372584013824,President Trump's Tips to Avoid Coronavirus https://t.co/UAeLDQ6FI4 via @USERNAME,Vitamin C can prevent coronavirus circulation.,NONE
7,1233977684587208704,"Looks like COVID-19 could have been spreading in the US for a lot longer than anticipated, but was not picked up because of criteria for risk and testing https://t.co/B6iJBC9IMw",SARS-CoV-2 can survive for weeks on surfaces.,NONE
8,1233935746735710208,"Statistically, you are more likely to be killed by @USERNAME  than by the Wuhan #coronavirus. https://t.co/EfeVB6v1q7",Africans are more resistant to coronavirus.,NONE
9,1233926869684191232,"@USERNAME @USERNAME @USERNAME 9 days is for a related corona virus, not Covid-19, under IDEAL conditions. From memory, 40 F, high humidity and no sunlight. But hours is apparently quite possible.",Coronavirus can only survive in cold temperatures.,NONE
10,1233929808175865856,Afghanistan: Imams say Qur'an verses worn on clothes can prevent coronavirus https://t.co/ks8zGXQ4yc,Vitamin C can prevent coronavirus circulation.,NONE
11,1233947334335029248,"well just learned it was fake! y’all are stupid. anyway check for coronavirus by holding your breath for 10 secs, if you don’t feel any tightness or start coughing you’re good. remember to always always wash your hands whenever possible and be alert https://t.co/XlBNpj8Sml",A person can tell if they have coronavirus or not simply by holding their breath.,FAVOR
12,1233922612956475392,"here’s to hoping my kids have been bringing home some garden variety coronaviruses over the last few years.
👧🏼🦠🤧🛡

Remarkable Age Distribution of OC43 vs. SARS-CoV-2 in China - Virological https://t.co/uImgzGDRP2",SARS-CoV-2 can survive for weeks on surfaces.,NONE
13,1233947626594357248,"BiologistDan: SuoloSaint Never bad to ask. The COVID-19 ""coronavirus"" is specific for respiratory cells. There is no known vaginal infestation.",Coronavirus is genetically engineered.,NONE
14,1233970016690806784,"As fears over #coronavirus grow, CVS cautioned customers that temporary shortages of hand sanitizing products could occur. @USERNAME 

https://t.co/cjcdjScrBt",Hand sanitiser sold commercially does not destroy the coronavirus.,NONE
15,1233972506672820224,@USERNAME @USERNAME @USERNAME Again where are the medical studies?  Not talking about naturopaths  or chiropractors who peddle vitamins.   It’s completely irresponsible  for the OP to tell people with coronavirus to take vitamin C and eat soup to “cure” it.  🤦🏻‍♀️,Avocado and mint tea cures coronavirus.,NONE
16,1233950084569731072,"In response to concerns expressed by the faithful regarding the potential spread of the #coronavirus, the Archdiocese of Galveston-Houston is suspending the distribution of Holy Communion. https://t.co/aDQGtpZ1qq",Holy communion cannot be the cause of the spread of coronavirus,NONE
17,1233909971936350208,Assume everyone you encounter has coronavirus even if they have no symptoms. Take no chances.,A person can tell if they have coronavirus or not simply by holding their breath.,NONE
18,1233972149557194752,"Good news!

Studies and scientific models show that people who already have TDS are the most susceptible to the effects of the #coronavirus.  

The models predict that they will have a very high non-recovery rate because they have no clue how to take care of themselves.",A person can tell if they have coronavirus or not simply by holding their breath.,NONE
